"Date";"Amount";"Original amount";"Original currency";"Exchange rate";"Description";"Subject";"Category";"Tags";"Wise";"Spaces"
"2026-01-31";"-18.00";"";"";"";"Digital Republic";;"housing";"";"no";"no"
"2026-01-30";"-43.16";"";"";"";"ALDI SUISSE";;"household";"";"no";"no"
"2026-01-29";"-19.00";"";"";"";"Chao Naa";;"food";"";"no";"no"
"2026-01-28";"89.65";"";"";"";"Siemens";"179398191 89.65, 0000400242 4168 179398191
Supp";"income";"";"no";"no"
"2026-01-26";"-2202.00";"";"";"";"Raible Daniel Ottavianelli Patrizia";"";"housing";"";"no";"no"
"2026-01-26";"-374.35";"";"";"";"Concordia";"Abrechnungszeitraum: 01.01.2026 - 28.02.2026";"finances";"";"no";"no"
"2026-01-24";"-5.85";"";"";"";"Migros";;"household";"";"no";"no"
"2026-01-24";"-26.85";"";"";"";"Coop";;"household";"";"no";"no"
"2026-01-23";"-17.80";"";"";"";"WAL*CONDITOREI SCHELBE";;"household";"";"no";"no"
"2026-01-23";"-13.00";"";"";"";"Orange Restaurant & Ba";;"food";"";"no";"no"
"2026-01-23";"-2.15";"";"";"";"Royal Dutch Shell (Shell)";;"shopping";"";"no";"no"
"2026-01-23";"-7258.00";"";"";"";"finpension";"";"finances";"";"no";"no"
"2026-01-23";"16070.40";"";"";"";"Siemens";"PY.0547002140 Fromlohn/Gehalt 02310547/202601
Sala";"income_salary";"";"no";"no"
"2026-01-22";"-14.50";"";"";"";"Kuhn Back & Gastro AG";;"household";"";"no";"no"
"2026-01-22";"-8.90";"";"";"";"Royal Dutch Shell (Shell)";;"shopping";"";"no";"no"
"2026-01-21";"-16.80";"";"";"";"Ess-Werk GmbH";;"food";"";"no";"no"
"2026-01-21";"-33.50";"";"";"";"LSP*Hotel Santispark";;"travel";"";"no";"no"
"2026-01-21";"-2.65";"";"";"";"Denner";;"household";"";"no";"no"
"2026-01-21";"-11.90";"";"";"";"Decathlon";;"leisure";"";"no";"no"
"2026-01-21";"59.50";"";"";"";"Siemens";"178838941 59.50, 0000400242 4168 178838941
Supp";"income";"";"no";"no"
"2026-01-20";"-22.50";"";"";"";"EVZ Gastro AG";;"food";"";"no";"no"
"2026-01-20";"-31.95";"";"";"";"Restaurant Tibet Corne";;"food";"";"no";"no"
"2026-01-20";"-5.50";"";"";"";"Pointbreak";;"leisure";"";"no";"no"
"2026-01-20";"-11.15";"";"";"";"SV (Schweiz) AG";;"food";"";"no";"no"
"2026-01-19";"-13.93";"-5709.00";"HUF";"409.83489";"MVM NEXT ENERGIAK";;"housing";"";"no";"no"
"2026-01-19";"-31.40";"";"";"";"Gelateria Dolce Lucia";;"food";"";"no";"no"
"2026-01-19";"-4.35";"";"";"";"Migros";;"household";"";"no";"no"
"2026-01-19";"-2.30";"";"";"";"Royal Dutch Shell (Shell)";;"shopping";"";"no";"no"
"2026-01-19";"-9.00";"";"";"";"Bratwurst & Bowls";;"uncategorized";"";"no";"no"
"2026-01-17";"-123.72";"-132.09";"EUR";"1.06765";"REWE";;"household";"";"no";"no"
"2026-01-17";"66.40";"";"";"";"Ochsner Sport";;"income";"";"no";"no"
"2026-01-17";"-34.50";"-36.83";"EUR";"1.06754";"Esso";;"transport";"";"no";"no"
"2026-01-17";"-1.75";"";"";"";"Parkingpay";;"transport";"";"no";"no"
"2026-01-17";"-4.12";"-4.40";"EUR";"1.06796";"EDEKA";;"household";"";"no";"no"
"2026-01-16";"-17.80";"";"";"";"ALDI SUISSE";;"household";"";"no";"no"
"2026-01-14";"-19.10";"";"";"";"Yooji's";;"food";"";"no";"no"
"2026-01-14";"-13.00";"";"";"";"Bratwurst & Bowls";;"uncategorized";"";"no";"no"
"2026-01-13";"-30.00";"";"";"";"mit&ohne";;"food";"";"no";"no"
"2026-01-13";"-3.70";"";"";"";"Royal Dutch Shell (Shell)";;"shopping";"";"no";"no"
"2026-01-13";"-15.80";"-6474.00";"HUF";"409.74684";"MVM NEXT ENERGIAK";;"housing";"";"no";"no"
"2026-01-13";"-11.50";"";"";"";"Metzgerei Rietmann";;"household";"";"no";"no"
"2026-01-13";"-66.90";"";"";"";"WWZ AG";"";"housing";"";"no";"no"
"2026-01-12";"-12.45";"";"";"";"Migros";;"household";"";"no";"no"
"2026-01-12";"-24.40";"";"";"";"Klosterdrogerie AG";;"uncategorized";"";"no";"no"
"2026-01-12";"-25.60";"";"";"";"Tibits";;"food";"";"no";"no"
"2026-01-11";"-14.90";"";"";"";"Zug Apotheke - Achillea";;"health";"";"no";"no"
"2026-01-11";"-20.80";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2026-01-11";"-7.95";"";"";"";"Coop";;"household";"";"no";"no"
"2026-01-11";"-22.00";"";"";"";"SBB CFF FFS";;"transport";"";"no";"no"
"2026-01-10";"-10.46";"-4280.00";"HUF";"409.17782";"Fusion Zrt. BURGER KI";;"food";"";"no";"no"
"2026-01-09";"-1.96";"-800.00";"HUF";"408.16327";"A'RKA'D SZEGED BEV.";;"uncategorized";"";"no";"no"
"2026-01-09";"-35.86";"-14680.00";"HUF";"409.36977";"C&A";;"leisure";"";"no";"no"
"2026-01-09";"-129.92";"-53190.00";"HUF";"409.40579";"OFFICE SHOES ARKAD S";;"shopping";"";"no";"no"
"2026-01-09";"-15.26";"-6250.00";"HUF";"409.56750";"Premium Car Wash";;"transport";"";"no";"no"
"2026-01-09";"-13.00";"-5320.00";"HUF";"409.23077";"SIMPLEP*M?V";;"uncategorized";"";"no";"no"
"2026-01-08";"-6.94";"-2850.00";"HUF";"410.66282";"Plebs";;"uncategorized";"";"no";"no"
"2026-01-08";"-11.34";"-4650.00";"HUF";"410.05291";"REO:K KE'ZMU\"VES CUKR.";;"uncategorized";"";"no";"no"
"2026-01-08";"-9.87";"-4050.00";"HUF";"410.33435";"HELOPAY*DUNA DONER SZ";;"food";"";"no";"no"
"2026-01-08";"-14.63";"-5990.00";"HUF";"409.43267";"SIMPLEP*444.HU";;"uncategorized";"";"no";"no"
"2026-01-08";"-17.30";"-21.62";"USD";"1.24971";"Anthropic";;"leisure";"";"no";"no"
"2026-01-07";"-9.43";"-3855.00";"HUF";"408.80170";"SPAR";;"household";"";"no";"no"
"2026-01-07";"-1.00";"";"";"";"Apple";;"shopping";"";"no";"no"
"2026-01-07";"-12.97";"-5300.00";"HUF";"408.63531";"Majoros Aniko";;"uncategorized";"";"no";"no"
"2026-01-07";"-17.86";"-7300.00";"HUF";"408.73460";"ANNA FU:RDO\" PE'NZTA'R";;"uncategorized";"";"no";"no"
"2026-01-06";"-11.39";"-4650.00";"HUF";"408.25285";"Tesco";;"household";"";"no";"no"
"2026-01-05";"-6.25";"-2555.00";"HUF";"408.80000";"Coop";;"household";"";"no";"no"
"2026-01-05";"-79.23";"-32385.00";"HUF";"408.74669";"BARIONP*TAXATEAMBill";;"uncategorized";"";"no";"no"
"2026-01-05";"-12.13";"-4958.00";"HUF";"408.73866";"HELOPAY*DUNA DONER SZ";;"food";"";"no";"no"
"2026-01-04";"-11.25";"-4600.00";"HUF";"408.88889";"VA'ROSI SPORTUSZODA";;"uncategorized";"";"no";"no"
"2026-01-04";"-6.66";"-2723.00";"HUF";"408.85886";"Tesco";;"household";"";"no";"no"
"2026-01-04";"-6.04";"-2470.00";"HUF";"408.94040";"VASAS SZENT PE'TER GY.";;"uncategorized";"";"no";"no"
"2026-01-04";"-67.33";"-27522.00";"HUF";"408.76281";"Tesco";;"household";"";"no";"no"
"2026-01-03";"-0.02";"-10.00";"HUF";"500.00000";"Tesco";;"household";"";"no";"no"
"2026-01-03";"-3.67";"-1500.00";"HUF";"408.71935";"GYU:MI VENDE'GLO\"";;"uncategorized";"";"no";"no"
"2026-01-03";"-7.56";"-3090.00";"HUF";"408.73016";"SIMPLEP*KULCS.HVG.HU";;"uncategorized";"";"no";"no"
"2026-01-02";"-7.31";"-2990.00";"HUF";"409.02873";"McDonald's";;"food";"";"no";"no"
"2026-01-02";"-101.73";"-41665.00";"HUF";"409.56453";"BARIONP*TISZAPART";;"uncategorized";"";"no";"no"
"2026-01-02";"-3.88";"-1590.00";"HUF";"409.79381";"McDonald's";;"food";"";"no";"no"
"2026-01-02";"-144.55";"-59200.00";"HUF";"409.54687";"SIMPLEP*M?V";;"uncategorized";"";"no";"no"
"2026-01-01";"-18.00";"";"";"";"Digital Republic";;"housing";"";"no";"no"
"2026-01-01";"-52.62";"-21550.00";"HUF";"409.54010";"OMV Tankstelle";;"transport";"";"no";"no"
