"date","transaction","description","amount","balance","currency"
"2025-10-01","INT","Interest earned","1.09","356.15","CAD"
"2025-10-02","CASHBACK","Cash back - Prepaid card","5.21","361.36","CAD"
"2025-10-03","SPEND","Digitalrepublic.ch","-31.74","329.62","CAD"
"2025-10-04","SPEND","Sbb Cff Ffs Mobile Tic","-20.11","309.51","CAD"
"2025-10-05","SPEND","Wendys 6012","-4.2","305.31","CAD"
"2025-10-05","SPEND","Tim Hortons","-1.92","303.39","CAD"
"2025-10-06","SPEND","Oyf- Bur Oak Markham","-44.07","259.32","CAD"
"2025-10-06","SPEND","City Of Markham","-11.35","247.97","CAD"
"2025-10-07","SPEND","Pparklink Corp- City O","-16.0","231.97","CAD"
"2025-10-07","SPEND","City Of Markham","-15.32","216.65","CAD"
"2025-10-09","SPEND","Google Youtube Member","-2.02","214.63","CAD"
"2025-10-09","SPEND","City Of Markham","-15.32","199.31","CAD"
"2025-10-10","SPEND","Tim Hortons","-2.09","197.22","CAD"
"2025-10-10","SPEND","Shoppers Drug Mart 122","-18.62","178.6","CAD"
"2025-10-10","SPEND","Shoppers Drug Mart 122","-28.24","150.36","CAD"
"2025-10-12","TRFIN","Transfer in","600.0","750.36","CAD"
"2025-10-12","TRFIN","Transfer in","100.0","850.36","CAD"
"2025-10-12","SPEND","Harvey's","-3.15","847.21","CAD"
"2025-10-12","SPEND","City Of Markham","-11.35","835.86","CAD"
"2025-10-14","SPEND","Tap Air Portugal","-370.71","465.15","CAD"
"2025-10-14","SPEND","City Of Markham","-15.32","449.83","CAD"
"2025-10-16","SPEND","City Of Markham","-15.32","434.51","CAD"
"2025-10-17","SPEND","Wendys 6012","-9.04","425.47","CAD"
"2025-10-18","SPEND","City Of Markham","-15.32","410.15","CAD"
"2025-10-20","SPEND","Wendys 6012","-18.4","391.75","CAD"
"2025-10-20","SPEND","Yyz 1812 Relay","-4.51","387.24","CAD"
"2025-10-20","SPEND","Healthygamer.gg","-310.16","77.08","CAD"
"2025-10-21","SPEND","Sbb Cff Ffs Mobile Tic","-20.42","56.66","CAD"
"2025-10-21","SPEND","Sbb Cff Ffs Mobile Tic","-20.42","36.24","CAD"
"2025-10-22","TRFIN","Transfer in","500.0","536.24","CAD"
"2025-10-23","SPEND","Bk32775 -Alcantara","-6.54","529.7","CAD"
"2025-10-25","SPEND","Fizz (tx. Incl.)","-10.17","519.53","CAD"
"2025-10-28","SPEND","Sbb Cff Ffs Mobile Tic","-20.22","499.31","CAD"
"2025-10-28","SPEND","Aero Food Restauraca","-24.72","474.59","CAD"
"2025-10-29","SPEND","3218 - Decathlon Zug M","-8.67","465.92","CAD"
"2025-10-30","SPEND","Github","-14.04","451.88","CAD"
"2025-10-31","GIVEAWAY","Giveaway received","31.86","483.74","CAD"